company_name,image,name,quantity,apna_daily,mrp_price
Amul,amul_rusk.png,amul rusk,200g x 3,90,90
parle,parle _rusk.png,parle rusk,200g x 3,90,90
britannia,good day.png,good day cashew cookkies,combo of 3 ,89,90
sunfeast,IMG-20200702-WA0027.png,yeppi noodles,combo of 5,48,50
sunfeast,IMG-20200702-WA0027.png,yeppi noodles,jombo pack,45,50
maggi,IMG-20200702-WA0029,maggi masala spicy,jombo pack,45,50
modern,IMG-20200702-WA0031.png,modern bread,1 pack,25,30
britannia,IMG-20200702-WA0033.png,britannia rusk,1 pack,29,30
haldiram,IMG-20200702-WA0064.png,bhujia sev,1 pack,29,30
haldiram,IMG-20200702-WA0068.png,plain bhujia,1 pack,29,30
lijjak papad,IMG-20200702-WA0069.png,lijjak papaad,250g,175,186
haldiram,IMG-20200702-WA0072.png,bhel puri,300g,100,100
haldiram,IMG-20200702-WA0072.png,bhel puri,150g,55,55
